id,traineeId,trainerId,trainingTypeId,name,data,duration
66,755,163,899,Ophioglossaceae,4/21/2021,12
67,674,659,317,Solanaceae,11/9/2021,12
68,533,441,603,Amaranthaceae,1/20/2022,11
69,797,493,910,Passifloraceae,1/12/2023,4
70,72,252,810,Amblystegiaceae,1/29/2022,6
71,8,766,214,Asteraceae,10/11/2021,10
72,954,765,857,Portulacaceae,10/1/2023,8
73,497,423,708,Porpidiaceae,2/24/2022,9
74,374,63,456,Acanthaceae,5/26/2022,7
75,37,709,426,Asteraceae,7/17/2022,7
76,275,806,568,Orchidaceae,7/1/2023,10
77,575,324,816,Asteraceae,5/29/2021,6
78,860,214,112,Iridaceae,3/26/2021,4
79,794,518,633,Urticaceae,11/12/2022,3
80,71,74,61,Fabaceae,6/1/2023,3
81,860,836,466,Asteraceae,10/4/2022,7
82,299,334,103,Lecanoraceae,4/15/2023,9
83,294,879,888,Bryaceae,12/9/2022,6
84,43,417,335,Pertusariaceae,11/20/2020,1
85,205,498,137,Ranunculaceae,1/16/2021,5
86,848,469,104,Valerianaceae,12/15/2020,12
87,250,343,912,Fabaceae,11/6/2022,9
88,968,28,102,Myricaceae,6/15/2022,6
89,678,372,185,Ericaceae,6/27/2021,3
90,681,764,174,Gentianaceae,7/9/2023,5
91,729,94,718,Asteraceae,8/29/2023,8
92,892,88,717,Juncaceae,5/11/2023,12
93,732,241,719,Zingiberaceae,12/23/2021,5
94,674,623,865,Lamiaceae,4/21/2021,3
95,922,237,491,Poaceae,9/18/2022,1
96,765,360,802,Caryophyllaceae,7/2/2023,6
97,656,490,472,Fagaceae,5/7/2021,8
98,25,843,884,Loasaceae,12/1/2020,3
99,615,49,742,Brassicaceae,8/12/2021,5
100,16,879,49,Grimmiaceae,3/7/2021,11
101,477,312,881,Campanulaceae,3/27/2023,9
102,487,582,507,Brassicaceae,12/19/2020,8
103,553,730,285,Rosaceae,8/27/2023,3
104,363,139,720,Urticaceae,11/5/2020,8
105,455,777,603,Caliciaceae,3/6/2022,5
106,381,316,724,Arecaceae,4/13/2022,10
107,525,819,611,Hamamelidaceae,10/29/2022,7
108,403,627,775,Malvaceae,8/18/2023,4
109,49,385,603,Rosaceae,5/12/2022,12
110,932,489,566,Dioscoreaceae,4/5/2022,10
111,519,788,516,Asteraceae,1/30/2021,4
112,511,215,756,Convolvulaceae,1/23/2022,6
113,480,22,491,Polygonaceae,3/2/2021,11
114,257,899,950,Bryaceae,9/29/2023,2
115,573,783,92,Asteraceae,5/31/2023,8
116,437,234,245,Solanaceae,6/11/2023,4
117,489,538,641,Asteraceae,4/12/2021,10
118,610,32,20,Scrophulariaceae,3/3/2022,10
119,89,435,847,Poaceae,7/18/2021,9
120,775,493,16,Saxifragaceae,2/9/2021,4
121,23,882,872,Cyperaceae,5/30/2023,12
122,189,705,200,Iridaceae,6/29/2021,9
123,419,740,793,Hydrophyllaceae,8/24/2023,5
124,799,825,115,Cistaceae,5/25/2023,8
125,15,856,100,Leitneriaceae,1/1/2021,5
126,812,64,422,Poaceae,3/13/2022,7
127,107,616,519,Isoetaceae,3/31/2022,5
128,731,434,240,Grimmiaceae,5/23/2022,7
129,993,518,858,Pertusariaceae,9/16/2023,3
130,377,731,627,Hydrophyllaceae,2/16/2023,8
131,830,206,579,Campanulaceae,5/30/2023,10
132,51,889,163,Onagraceae,12/24/2022,10
133,403,135,13,Polygonaceae,9/29/2021,12
134,863,777,299,Parmeliaceae,3/23/2021,2
135,330,406,636,Fouquieriaceae,12/1/2020,5
136,348,640,864,Porpidiaceae,7/28/2021,3
137,112,903,89,Asteraceae,10/25/2023,10
138,441,939,317,Cupressaceae,12/14/2021,10
139,835,210,558,Rosaceae,7/27/2022,6
140,838,88,655,Fabaceae,4/2/2021,7
141,638,432,185,Scrophulariaceae,3/4/2022,4
142,65,65,805,Rhizocarpaceae,3/8/2022,3
143,193,172,974,Asteraceae,4/13/2023,1
144,618,893,56,Asteraceae,1/16/2023,5
145,584,504,87,Campanulaceae,8/10/2023,4
146,992,609,553,Asteraceae,1/22/2022,6
147,900,822,742,Fabaceae,2/12/2022,6
148,294,880,988,Dioscoreaceae,8/13/2023,6
149,64,649,912,Fabaceae,9/24/2023,3
150,465,36,249,Polemoniaceae,7/11/2023,6
151,927,492,663,Asteraceae,1/21/2023,9
152,459,4,459,Myrtaceae,9/24/2021,8
153,665,723,421,Fabaceae,6/18/2022,5
154,421,584,224,Asteraceae,4/5/2022,10
155,157,617,975,Juncaceae,9/13/2022,5
156,266,933,82,Fabaceae,10/30/2022,8
157,267,211,984,Brassicaceae,8/14/2022,5
158,981,312,162,Parmeliaceae,5/18/2021,2
159,553,914,778,Asteraceae,9/4/2021,11
160,272,799,564,Cistaceae,5/12/2023,9
161,991,766,413,Polygonaceae,5/23/2022,9
162,956,628,394,Juncaceae,1/22/2023,9
163,73,830,969,Liliaceae,12/21/2022,3
164,400,811,894,Ericaceae,10/2/2022,7
165,944,205,863,Convolvulaceae,12/28/2022,10
166,731,464,518,Trapeliaceae,9/8/2021,10
167,605,368,756,Ranunculaceae,1/26/2023,5
168,599,542,28,Fabaceae,12/17/2020,9
169,664,800,936,Orchidaceae,6/30/2022,4
170,75,143,482,Ericaceae,9/14/2022,10
171,31,478,518,Ruppiaceae,9/5/2023,2
172,640,106,341,Apiaceae,9/15/2021,8
173,25,171,754,Polemoniaceae,4/16/2022,9
174,799,408,362,Poaceae,9/26/2023,5
175,551,269,618,Cladoniaceae,7/18/2023,2
176,712,425,422,Asteraceae,2/24/2021,8
177,422,460,716,Lamiaceae,5/4/2023,9
178,756,586,948,Polemoniaceae,2/10/2023,12
179,246,791,648,Scrophulariaceae,7/6/2022,2
180,715,89,973,Scrophulariaceae,3/17/2021,6
181,239,189,287,Poaceae,5/23/2023,10
182,470,957,877,Annonaceae,2/20/2022,6
183,270,898,468,Scrophulariaceae,10/24/2021,12
184,424,574,828,Asteraceae,11/1/2022,6
185,134,695,574,Rosaceae,1/24/2021,1
186,275,963,927,Aspleniaceae,3/22/2023,12
187,46,779,655,Asteraceae,9/24/2021,4
188,168,547,590,Ericaceae,5/18/2022,12
189,824,290,42,Asteraceae,5/7/2022,9
190,255,495,847,Fabaceae,7/1/2022,7
191,56,191,42,Fabaceae,11/12/2021,9
192,542,731,144,Asteraceae,7/4/2021,5
193,55,600,343,Aristolochiaceae,5/19/2023,8
194,287,588,282,Rosaceae,6/15/2021,2
195,636,460,893,Lecanoraceae,6/14/2023,1
196,287,773,551,Apiaceae,10/12/2021,7
197,244,471,355,Xyridaceae,10/20/2021,6
198,699,275,934,Arecaceae,10/26/2023,7
199,543,930,349,Myriniaceae,9/2/2021,1
200,864,347,770,Poaceae,9/28/2021,8
201,69,433,235,Graphidaceae,5/17/2023,10
202,846,504,762,Fabaceae,1/2/2021,3
203,909,145,102,Rosaceae,1/31/2022,6
204,227,206,981,Scrophulariaceae,3/21/2022,7
205,455,185,440,Cannabaceae,4/26/2023,10
206,830,283,823,Saxifragaceae,1/23/2022,3
207,239,735,780,Cyperaceae,3/8/2021,8
208,72,244,426,Dicranaceae,3/30/2022,9
209,886,829,809,Gleicheniaceae,4/24/2023,2
210,87,203,981,Grimmiaceae,2/16/2023,3
211,918,449,276,Polemoniaceae,9/7/2023,3
212,992,676,641,Rosaceae,2/4/2022,7
213,939,285,77,Boraginaceae,1/4/2021,2
214,862,340,543,Brachytheciaceae,9/22/2023,4
215,183,260,193,Fabaceae,5/23/2021,11
216,947,775,412,Nyctaginaceae,10/31/2023,12
217,352,448,850,Verrucariaceae,7/22/2021,9
218,734,633,544,Caryophyllaceae,5/24/2021,9
219,316,893,661,Solanaceae,1/13/2023,9
220,82,52,713,Apocynaceae,10/18/2022,3
221,530,705,465,Thelypteridaceae,3/7/2022,3
222,991,716,947,Caryophyllaceae,7/16/2023,1
223,77,363,775,Parmeliaceae,3/13/2021,2
224,866,526,499,Liliaceae,5/26/2023,8
225,82,383,277,Lamiaceae,5/25/2023,5
226,763,231,967,Fagaceae,2/17/2021,12
227,600,519,158,Typhaceae,11/15/2022,9
228,969,169,263,Ranunculaceae,9/8/2021,3
229,83,443,853,Rosaceae,10/24/2023,12
230,193,909,457,Apiaceae,10/18/2023,4
231,28,535,220,Poaceae,10/7/2021,9
232,564,628,564,Ericaceae,9/3/2021,7
233,826,481,296,Teloschistaceae,10/28/2023,12
234,795,544,801,Sarraceniaceae,12/24/2021,12
235,568,521,269,Papaveraceae,1/17/2021,2
236,775,861,425,Scrophulariaceae,7/21/2021,12
237,212,822,108,Asteraceae,7/30/2021,8
238,707,791,956,Zygophyllaceae,11/26/2020,3
239,897,212,241,Cyperaceae,3/2/2022,4
240,808,52,972,Rosaceae,2/11/2023,9
241,958,223,300,Loasaceae,7/7/2023,6
242,513,256,221,Asteraceae,11/12/2022,2
243,281,97,154,Cyperaceae,5/26/2023,1
244,227,11,429,Sphagnaceae,9/5/2021,2
245,174,937,50,Capparaceae,4/16/2023,2
246,116,164,84,Betulaceae,12/6/2021,11
247,985,128,45,Brassicaceae,10/10/2023,8
248,5,309,866,Cyperaceae,11/24/2022,10
249,513,91,565,Pinaceae,8/15/2023,4
250,438,207,315,Apocynaceae,1/1/2021,11
251,709,799,304,Juglandaceae,7/16/2023,2
252,426,326,814,Poaceae,12/25/2022,10
253,628,705,208,Amaranthaceae,5/5/2023,3
254,949,944,473,Solanaceae,1/27/2023,9
255,688,407,652,Myrtaceae,7/28/2022,1
256,634,713,974,Poaceae,4/25/2021,1
257,797,920,48,Bromeliaceae,6/21/2022,8
258,973,59,97,Cyrillaceae,1/13/2022,4
259,753,138,783,Asteraceae,11/30/2022,11
260,687,677,93,Cucurbitaceae,3/11/2023,8
261,349,951,2,Rosaceae,7/27/2023,7
262,188,269,237,Convolvulaceae,7/11/2021,4
263,425,352,557,Cucurbitaceae,2/24/2022,8
264,593,959,192,Ectolechiaceae,12/16/2021,11
265,574,527,53,Asteraceae,3/30/2022,1
266,111,108,448,Rosaceae,12/17/2020,5
267,282,282,345,Scrophulariaceae,8/8/2022,1
268,964,319,66,Bacidiaceae,10/21/2022,12
269,615,48,558,Apiaceae,1/23/2023,6
270,877,854,110,Clusiaceae,2/24/2023,11
271,431,758,776,Teloschistaceae,6/30/2023,8
272,96,28,178,Asteraceae,4/2/2023,8
273,843,68,258,Pannariaceae,4/6/2021,10
274,325,177,474,Collemataceae,2/28/2021,7
275,450,389,255,Liliaceae,4/15/2021,9
276,450,69,104,Anacardiaceae,6/2/2022,7
277,772,237,17,Asteraceae,8/29/2021,8
278,458,797,471,Urticaceae,12/11/2021,7
279,911,99,717,Rosaceae,10/26/2023,12
280,277,721,209,Asteraceae,4/9/2023,9
281,341,35,443,Hydrophyllaceae,12/3/2021,7
282,244,170,155,Gentianaceae,3/5/2021,5
283,655,360,276,Cactaceae,8/6/2023,3
284,303,587,117,Asteraceae,8/2/2023,10
285,972,513,145,Pannariaceae,7/20/2021,10
286,165,599,258,Gentianaceae,7/19/2023,7
287,137,382,562,Onagraceae,8/26/2022,5
288,560,753,382,Burmanniaceae,9/22/2021,7
289,180,374,930,Cactaceae,8/16/2022,4
290,822,96,258,Convolvulaceae,6/3/2022,5
291,337,125,852,Rosaceae,8/17/2022,6
292,441,777,109,Acarosporaceae,9/9/2021,12
293,903,342,542,Fumariaceae,3/18/2022,8
294,234,691,529,Physciaceae,6/27/2023,8
295,710,134,911,Umbilicariaceae,8/30/2023,12
296,131,464,40,Ranunculaceae,5/25/2021,12
297,131,67,738,Orchidaceae,5/3/2022,1
298,657,411,612,Celastraceae,8/5/2022,11
299,473,60,335,Asteraceae,10/2/2021,3
300,255,118,207,Poaceae,9/11/2021,6
301,719,893,269,Rhizocarpaceae,6/20/2023,8
302,814,14,455,Schizaeaceae,9/12/2023,1
303,468,443,751,Scrophulariaceae,8/24/2023,1
304,467,676,598,Asteraceae,3/11/2023,11
305,552,927,98,Fabaceae,9/23/2023,3
306,449,679,294,Cyperaceae,8/13/2021,11
307,524,587,384,Euphorbiaceae,3/13/2023,12
308,183,832,239,Solanaceae,9/28/2021,4
309,474,814,145,Rutaceae,2/2/2023,8
310,664,338,342,Crassulaceae,10/9/2022,5
311,549,41,13,Fabaceae,4/10/2022,2
312,500,902,138,Fabaceae,7/2/2021,11
313,460,85,863,Solanaceae,4/15/2023,7
314,705,279,819,Grimmiaceae,8/22/2022,10
315,735,363,640,Asteraceae,10/16/2021,9
316,906,542,800,Fabaceae,2/10/2022,7
317,446,736,572,Lamiaceae,7/6/2021,9
318,438,583,673,Aristolochiaceae,6/27/2023,3
319,703,529,258,Poaceae,6/2/2021,7
320,301,202,443,Bignoniaceae,10/4/2023,12
321,1,641,262,Liliaceae,12/14/2021,7
322,451,662,128,Geraniaceae,9/24/2023,12
323,102,807,443,Lamiaceae,11/14/2021,11
324,490,326,280,Rosaceae,10/18/2022,7
325,167,137,213,Cyperaceae,1/17/2023,7
326,511,172,789,Smilacaceae,5/7/2021,4
327,124,929,727,Hylocomiaceae,4/8/2022,7
328,642,406,408,Costaceae,12/30/2021,10
329,519,486,442,Scrophulariaceae,3/14/2023,7
330,389,737,460,Catoscopiaceae,12/19/2020,3
331,651,909,701,Ranunculaceae,7/16/2021,11
332,951,651,198,Loasaceae,5/4/2023,4
333,722,679,137,Rosaceae,9/26/2021,12
334,12,35,887,Poaceae,4/17/2021,4
335,424,565,588,Polygalaceae,6/19/2022,12
336,977,831,347,Euphorbiaceae,8/7/2022,1
337,354,302,711,Caliciaceae,11/9/2021,9
338,785,821,217,Cactaceae,9/21/2022,5
339,125,83,208,Oleaceae,8/10/2021,10
340,592,126,497,Meliaceae,7/14/2021,12
341,29,439,599,Poaceae,10/6/2021,7
342,54,145,53,Lecanoraceae,6/7/2022,2
343,102,139,489,Asteraceae,10/22/2022,11
344,236,173,556,Pinaceae,1/31/2021,11
345,421,662,226,Liliaceae,8/13/2022,2
346,220,598,376,Poaceae,11/18/2021,1
347,1,719,853,Cyperaceae,8/9/2023,2
348,220,691,29,Salicaceae,1/30/2023,6
349,713,708,769,Asteraceae,3/9/2022,3
350,842,181,715,Amaranthaceae,6/28/2021,10
351,544,547,405,Asteraceae,11/11/2022,7
352,422,520,561,Scrophulariaceae,3/16/2022,6
353,751,80,706,Ranunculaceae,6/23/2021,10
354,587,522,285,Asteraceae,10/16/2022,1
355,69,64,897,Polemoniaceae,6/26/2021,3
356,17,178,119,Grammitidaceae,6/7/2023,1
357,103,692,330,Apiaceae,11/13/2021,2
358,967,341,944,Boraginaceae,6/17/2021,10
359,269,493,227,Salicaceae,5/13/2021,11
360,808,531,669,Bixaceae,12/24/2022,12
361,108,603,510,Bromeliaceae,11/23/2022,6
362,570,23,30,Peltigeraceae,6/14/2022,4
363,289,120,865,Brassicaceae,8/29/2021,7
364,778,811,213,Hydrocharitaceae,12/10/2022,6
365,324,495,446,Rosaceae,10/28/2021,6
366,768,43,137,Timmiaceae,8/24/2022,4
367,147,595,134,Verrucariaceae,10/17/2021,11
368,951,912,564,Crassulaceae,6/17/2023,4
369,178,889,33,Fabaceae,5/12/2021,3
370,654,429,319,Pertusariaceae,9/23/2021,9
371,261,34,63,Hydrophyllaceae,12/11/2022,12
372,481,602,708,Onagraceae,10/26/2021,9
373,98,764,49,Asteraceae,6/8/2022,7
374,382,861,808,Polypodiaceae,9/11/2023,12
375,868,954,610,Brassicaceae,5/15/2023,1
376,337,962,997,Brassicaceae,6/26/2022,11
377,282,539,275,Pyrenulaceae,9/27/2023,3
378,942,264,527,Portulacaceae,8/16/2023,9
379,787,82,512,Pertusariaceae,11/16/2020,6
380,930,523,66,Polypodiaceae,5/30/2023,12
381,931,493,31,Trypetheliaceae,4/15/2023,12
382,693,397,815,Cyperaceae,1/19/2023,11
383,102,488,145,Acarosporaceae,9/12/2022,7
384,765,854,869,Crassulaceae,7/16/2023,5
385,356,578,658,Dryopteridaceae,8/5/2021,11
386,85,109,539,Solanaceae,6/28/2022,6
387,993,145,443,Euphorbiaceae,6/28/2023,5
388,436,660,5,Solanaceae,2/3/2021,6
389,651,782,937,Fabaceae,5/2/2023,7
390,327,881,848,Chenopodiaceae,8/7/2021,10
391,397,959,793,Anthocerotaceae,11/7/2022,7
392,725,139,205,Malvaceae,8/21/2023,1
393,410,793,930,Scrophulariaceae,1/12/2023,8
394,585,344,253,Myoporaceae,6/30/2022,11
395,382,586,781,Rutaceae,7/18/2022,2
396,989,759,918,Rosaceae,7/7/2022,9
397,727,140,587,Acanthaceae,6/25/2022,11
398,766,427,817,Poaceae,3/26/2022,9
399,809,398,754,Lamiaceae,8/29/2021,8
400,858,489,878,Onagraceae,11/22/2020,10
401,420,844,188,Fabaceae,3/13/2021,4
402,342,358,795,Cladoniaceae,7/10/2021,5
403,455,100,419,Campanulaceae,5/22/2023,7
404,79,486,823,Orobanchaceae,4/24/2022,11
405,476,959,985,Chenopodiaceae,11/15/2020,1
406,5,547,524,Fabaceae,3/7/2022,8
407,563,57,236,Fabaceae,3/26/2023,1
408,479,644,14,Lecanoraceae,11/8/2020,5
409,48,690,20,Asteraceae,10/25/2023,11
410,80,295,807,Campanulaceae,7/2/2021,1
411,906,229,455,Lecideaceae,6/3/2022,11
412,152,583,6,Scrophulariaceae,2/19/2022,8
413,35,888,313,Celastraceae,11/17/2020,12
414,515,767,140,Scrophulariaceae,10/18/2022,5
415,410,864,622,Lamiaceae,1/25/2023,6
416,667,413,808,Celastraceae,7/21/2023,8
417,106,699,632,Coniocybaceae,10/9/2023,12
418,17,419,800,Scrophulariaceae,4/16/2023,1
419,622,298,596,Rosaceae,10/29/2021,11
420,290,174,749,Fabaceae,5/2/2021,12
421,8,45,956,Aquifoliaceae,6/26/2023,7
422,690,428,585,Liliaceae,8/25/2023,8
423,360,624,482,Boraginaceae,11/18/2022,1
424,232,930,487,Rubiaceae,8/8/2023,9
425,461,671,164,Thymelaeaceae,11/4/2020,10
426,520,283,660,Myrtaceae,9/27/2022,3
427,274,512,167,Rosaceae,9/14/2021,9
428,611,847,111,Asteraceae,3/23/2023,1
429,469,449,38,Cornaceae,9/5/2023,7
430,330,858,10,Liliaceae,3/16/2023,8
431,266,171,201,Malvaceae,7/14/2021,7
432,622,835,96,Fissidentaceae,1/18/2023,10
433,92,345,505,Poaceae,1/16/2022,11
434,807,791,880,Fabaceae,5/11/2023,2
435,392,478,228,Campanulaceae,3/1/2023,6
436,754,666,751,Lauraceae,11/12/2021,2
437,958,554,897,Asteraceae,8/12/2022,7
438,229,276,877,Campanulaceae,5/15/2023,11
439,46,343,772,Agavaceae,3/15/2021,2
440,945,891,685,Asteraceae,3/15/2023,3
441,368,286,795,Liliaceae,3/17/2022,10
442,726,759,411,Primulaceae,10/14/2021,4
443,482,152,289,Dryopteridaceae,7/1/2021,12
444,363,775,716,Acarosporaceae,3/15/2021,2
445,836,585,942,Cactaceae,6/11/2022,6
446,579,615,264,Dryopteridaceae,2/18/2023,11
447,613,720,260,Rosaceae,10/5/2021,3
448,791,551,628,Polemoniaceae,9/29/2023,12
449,631,951,122,Lamiaceae,8/6/2021,8
450,587,640,213,Rosaceae,11/26/2020,3
451,66,19,912,Poaceae,7/17/2023,9
452,258,727,538,Asteraceae,9/29/2021,1
453,276,462,401,Cyperaceae,5/16/2022,6
454,579,362,98,Monoblastiaceae,3/10/2021,10
455,653,370,322,Iridaceae,1/9/2023,4
456,755,909,50,Asteraceae,9/30/2022,11
457,834,123,208,Rosaceae,5/6/2022,11
458,789,56,718,Fabaceae,11/20/2022,9
459,907,382,589,Apiaceae,8/27/2023,9
460,21,878,289,Caryophyllaceae,12/2/2020,9
461,160,687,223,Lamiaceae,8/17/2021,10
462,36,868,564,Opegraphaceae,11/12/2021,7
463,430,949,942,Poaceae,2/9/2021,3
464,409,752,323,Fabaceae,6/18/2021,12
465,208,573,333,Caryophyllaceae,12/30/2021,11
466,953,806,584,Rosaceae,6/2/2022,1
467,784,529,56,Pteridaceae,2/13/2022,5
468,555,61,811,Selaginellaceae,9/22/2021,3
469,937,335,136,Collemataceae,4/8/2021,3
470,677,774,683,Caryophyllaceae,10/24/2023,12
471,679,32,92,Liliaceae,10/5/2022,9
472,595,282,604,Fabaceae,1/31/2023,1
473,983,874,396,Acarosporaceae,7/7/2023,10
474,251,870,298,Arthoniaceae,5/8/2023,2
475,976,785,864,Polygonaceae,9/30/2021,10
476,157,609,963,Fabaceae,11/18/2020,1
477,772,489,403,Pteridaceae,9/12/2022,8
478,537,353,564,Pteridaceae,11/25/2022,2
479,662,816,106,Poaceae,3/8/2022,4
480,856,553,226,Fabaceae,10/23/2023,5
481,545,370,303,Bacidiaceae,11/29/2020,1
482,412,323,820,Liliaceae,3/8/2021,3
483,545,407,888,Polygonaceae,1/11/2023,6
484,13,520,608,Polygalaceae,10/15/2022,7
485,795,785,86,Polemoniaceae,9/19/2023,7
486,734,953,99,Polemoniaceae,11/9/2021,12
487,890,659,989,Scrophulariaceae,10/14/2021,11
488,751,900,525,Grammitidaceae,6/4/2023,11
489,257,832,120,Rosaceae,6/12/2022,8
490,484,869,83,Polygonaceae,7/21/2023,10
491,240,886,168,Verrucariaceae,6/9/2021,8
492,369,38,267,Juncaceae,4/18/2021,5
493,294,777,446,Asteraceae,2/2/2022,3
494,660,324,739,Saxifragaceae,7/12/2021,5
495,270,829,923,Asteraceae,8/15/2021,3
496,286,750,720,Rutaceae,6/17/2021,5
497,267,895,757,Ericaceae,8/10/2023,11
498,890,700,505,Melastomataceae,12/4/2022,4
499,743,440,747,Polypodiaceae,1/20/2022,12
500,652,802,75,Poaceae,4/7/2021,2
501,319,217,152,Poaceae,1/23/2021,11
502,409,230,415,Brassicaceae,6/23/2023,5
503,426,351,634,Bromeliaceae,5/23/2023,1
504,673,622,973,Agyriaceae,12/31/2022,11
505,475,267,338,Cyperaceae,12/16/2021,5
506,690,200,509,Liliaceae,6/6/2023,10
507,67,541,284,Ranunculaceae,6/19/2023,4
508,812,144,963,Poaceae,7/6/2021,6
509,411,810,405,Rubiaceae,7/15/2022,12
510,832,354,250,Asteraceae,10/15/2022,6
511,699,558,639,Lythraceae,12/16/2022,10
512,11,455,319,Lamiaceae,4/12/2022,3
513,207,23,943,Poaceae,6/20/2021,6
514,104,343,204,Betulaceae,6/12/2022,5
515,748,102,938,Poaceae,9/24/2023,11
516,291,668,889,Caryophyllaceae,4/15/2021,5
517,736,454,255,Asteraceae,8/25/2023,3
518,725,957,795,Arecaceae,3/27/2021,9
519,619,841,747,Salicaceae,6/23/2023,4
520,261,911,537,Thymelaeaceae,5/17/2022,3
521,505,655,232,Gentianaceae,9/27/2021,5
522,877,47,902,Asteraceae,9/26/2022,1
523,494,461,597,Poaceae,12/30/2021,1
524,147,718,336,Ditrichaceae,10/16/2021,7
525,457,65,577,Hydrophyllaceae,5/3/2021,8
526,701,779,387,Boraginaceae,10/26/2023,5
527,620,796,684,Fabaceae,2/14/2022,2
528,632,398,850,Cactaceae,9/18/2023,2
529,481,600,356,Orchidaceae,9/5/2022,11
530,507,488,924,Stereocaulaceae,8/12/2021,11
531,209,491,468,Santalaceae,6/3/2022,12
532,907,763,50,Cactaceae,8/3/2021,9
533,710,358,624,Dryopteridaceae,9/17/2023,7
534,989,745,24,Oxalidaceae,1/6/2023,7
535,940,953,569,Solanaceae,4/14/2021,9
536,822,316,511,Poaceae,12/18/2022,1
537,293,124,260,Lamiaceae,12/29/2020,5
538,821,549,205,Boraginaceae,4/10/2021,3
539,973,695,679,Fabaceae,5/4/2023,3
540,461,268,98,Arecaceae,7/10/2021,9
541,429,845,309,Malvaceae,4/26/2021,10
542,14,287,159,Pedaliaceae,3/13/2023,7
543,92,900,924,Hypnaceae,11/24/2022,9
544,77,367,306,Rosaceae,10/21/2022,4
545,575,888,923,Peltigeraceae,4/9/2023,3
546,629,461,821,Asteraceae,4/2/2022,6
547,467,570,713,Polygonaceae,11/10/2020,4
548,260,859,914,Polygonaceae,8/23/2021,9
549,789,158,399,Campanulaceae,10/3/2023,7
550,349,861,862,Fabaceae,10/16/2023,4
551,61,612,759,Poaceae,10/23/2023,5
552,317,509,924,Solanaceae,3/2/2021,5
553,386,435,798,Rosaceae,3/20/2023,3
554,728,56,191,Ericaceae,10/21/2022,1
555,81,658,57,Rosaceae,2/18/2023,2
556,21,446,225,Pertusariaceae,8/18/2022,7
557,437,153,485,Parmeliaceae,1/26/2021,7
558,487,576,647,Poaceae,1/4/2023,9
559,903,925,596,Fabaceae,5/28/2023,6
